time,geo,age,sex\nat,BE,FO
1991,BruCap,78,M,2140,140
1991,BruCap,78,F,4489,250
1991,BruCap,79,M,1960,138
1991,BruCap,79,F,4108,203
1991,BruCap,80,M,1748,122
1991,BruCap,80,F,4059,216
1991,BruCap,81,M,1542,99
1991,BruCap,81,F,3600,187
1991,BruCap,82,M,1365,111
1991,BruCap,82,F,3558,150
1991,BruCap,83,M,1166,102
1991,BruCap,83,F,3161,159
1991,BruCap,84,M,1036,81
1991,BruCap,84,F,2867,149
1991,BruCap,85,M,865,52
1991,BruCap,85,F,2577,144
1991,BruCap,86,M,707,67
1991,BruCap,86,F,2225,116
1991,BruCap,87,M,623,27
1991,BruCap,87,F,1954,104
1991,BruCap,88,M,466,38
1991,BruCap,88,F,1714,73
1991,BruCap,89,M,388,35
1991,BruCap,89,F,1417,79
1991,BruCap,90,M,279,30
1991,BruCap,90,F,1104,75
1991,BruCap,91,M,199,20
1991,BruCap,91,F,868,43
1991,BruCap,92,M,158,12
1991,BruCap,92,F,642,45
1991,BruCap,93,M,111,13
1991,BruCap,93,F,497,32
1991,BruCap,94,M,74,4
1991,BruCap,94,F,345,21
1991,BruCap,95,M,46,6
1991,BruCap,95,F,265,20
1991,BruCap,96,M,41,1
1991,BruCap,96,F,201,14
1991,BruCap,97,M,29,7
1991,BruCap,97,F,121,6
1991,BruCap,98,M,10,4
1991,BruCap,98,F,88,8
1991,BruCap,99,M,8,3
1991,BruCap,99,F,47,6
1991,BruCap,100,M,7,4
1991,BruCap,100,F,32,3
1991,BruCap,101,M,4,1
1991,BruCap,101,F,21,2
1991,BruCap,102,M,3,0
1991,BruCap,102,F,14,0
1991,BruCap,103,M,1,0
1991,BruCap,103,F,5,1
1991,BruCap,104,M,0,0
1991,BruCap,104,F,3,1
1991,BruCap,105,M,1,0
1991,BruCap,105,F,3,1
1991,BruCap,106,M,0,0
1991,BruCap,106,F,1,3
1991,BruCap,107,M,0,0
1991,BruCap,107,F,0,0
1991,BruCap,108,M,0,0
1991,BruCap,108,F,0,0
1991,BruCap,109,M,1,0
1991,BruCap,109,F,0,0
1991,BruCap,110,M,0,0
1991,BruCap,110,F,0,0
1991,BruCap,111,M,0,0
1991,BruCap,111,F,0,0
1991,BruCap,112,M,0,0
1991,BruCap,112,F,0,0
1991,BruCap,113,M,0,0
1991,BruCap,113,F,0,0
1991,BruCap,114,M,0,0
1991,BruCap,114,F,0,0
1991,BruCap,115,M,0,0
1991,BruCap,115,F,0,0
1991,BruCap,116,M,0,0
1991,BruCap,116,F,0,0
1991,BruCap,117,M,0,0
1991,BruCap,117,F,0,0
1991,BruCap,118,M,0,0
1991,BruCap,118,F,0,0
1991,BruCap,119,M,0,0
1991,BruCap,119,F,0,0
1991,BruCap,120,M,0,0
1991,BruCap,120,F,0,0
1991,Fla,0,M,33459,2139
1991,Fla,0,F,31723,2128
1991,Fla,1,M,32393,2156
1991,Fla,1,F,30852,2117
1991,Fla,2,M,32054,2261
1991,Fla,2,F,30628,1997
1991,Fla,3,M,31932,2178
1991,Fla,3,F,30180,2074
1991,Fla,4,M,32026,2143
1991,Fla,4,F,30291,1945
1991,Fla,5,M,31093,2143
1991,Fla,5,F,29784,2015
1991,Fla,6,M,31934,2179
1991,Fla,6,F,30421,2058
1991,Fla,7,M,32969,2084
1991,Fla,7,F,31529,2102
1991,Fla,8,M,33821,2215
1991,Fla,8,F,31892,2226
1991,Fla,9,M,35048,2256
1991,Fla,9,F,32753,2294
1991,Fla,10,M,34603,2453
1991,Fla,10,F,33147,2269
1991,Fla,11,M,35239,2317
1991,Fla,11,F,33023,2181
1991,Fla,12,M,34475,2118
1991,Fla,12,F,32933,2155
1991,Fla,13,M,33882,2081
1991,Fla,13,F,32558,2101
1991,Fla,14,M,33417,1984
1991,Fla,14,F,31666,1972
1991,Fla,15,M,32715,1841
1991,Fla,15,F,30917,1829
1991,Fla,16,M,34120,1859
1991,Fla,16,F,32523,1921
1991,Fla,17,M,35711,1882
1991,Fla,17,F,33786,1916
1991,Fla,18,M,37290,2077
1991,Fla,18,F,35638,2030
1991,Fla,19,M,38833,2179
1991,Fla,19,F,37609,2125
1991,Fla,20,M,40065,2187
1991,Fla,20,F,38374,2222
1991,Fla,21,M,40159,2306
