time,geo,age,sex\nat,BE,FO
1991,BruCap,0,M,0.001673840267814443,0.0029448885149347924
1991,BruCap,0,F,0.002961500493583416,0.002285191956124315
1991,BruCap,1,M,0.00025614754098360657,0.0
1991,BruCap,1,F,0.0002653223666755107,0.001338688085676038
1991,BruCap,2,M,0.0002638522427440633,0.0004228329809725159
1991,BruCap,2,F,0.0,0.0
1991,BruCap,3,M,0.0,0.0004355400696864112
1991,BruCap,3,F,0.0,0.0004480286738351255
1991,BruCap,4,M,0.0005715918833952558,0.0
1991,BruCap,4,F,0.0,0.0009107468123861566
1991,BruCap,5,M,0.0,0.0004385964912280702
1991,BruCap,5,F,0.0,0.0
1991,BruCap,6,M,0.0003032140691328078,0.0004380201489268507
1991,BruCap,6,F,0.0006441223832528182,0.0
1991,BruCap,7,M,0.0003169572107765452,0.0008795074758135446
1991,BruCap,7,F,0.0,0.0
1991,BruCap,8,M,0.0006361323155216285,0.0004257130693912303
1991,BruCap,8,F,0.0,0.0
1991,BruCap,9,M,0.0006150061500615006,0.00040176777822418635
1991,BruCap,9,F,0.00032133676092544985,0.0004306632213608958
1991,BruCap,10,M,0.0003112356053532525,0.0
1991,BruCap,10,F,0.0006365372374283894,0.0004246284501061572
1991,BruCap,11,M,0.0003188775510204082,0.0
1991,BruCap,11,F,0.0,0.0008869179600886918
1991,BruCap,12,M,0.0,0.0004275331338178709
1991,BruCap,12,F,0.00032970656116056716,0.0004325259515570935
1991,BruCap,13,M,0.00033624747814391386,0.0
1991,BruCap,13,F,0.0,0.0
1991,BruCap,14,M,0.0003394433129667346,0.00089126559714795
1991,BruCap,14,F,0.0,0.0
1991,BruCap,15,M,0.0006587615283267457,0.0009128251939753537
1991,BruCap,15,F,0.0,0.0
1991,BruCap,16,M,0.0,0.0004420866489832007
1991,BruCap,16,F,0.0,0.0
1991,BruCap,17,M,0.0003024803387779795,0.001378043178686266
1991,BruCap,17,F,0.0003075976622577669,0.0
1991,BruCap,18,M,0.001426940639269407,0.0
1991,BruCap,18,F,0.00029231218941829884,0.0004420866489832007
1991,BruCap,19,M,0.0,0.002142245072836333
1991,BruCap,19,F,0.000814774579033134,0.0
1991,BruCap,20,M,0.001018848700967906,0.0004011231448054553
1991,BruCap,20,F,0.0007589172780166963,0.0004111842105263158
1991,BruCap,21,M,0.0010167768174885608,0.001574803149606299
1991,BruCap,21,F,0.0002475247524752476,0.0003951007506914263
1991,BruCap,22,M,0.0009332711152589829,0.001542614731970691
1991,BruCap,22,F,0.0002306805074971165,0.0003992015968063872
1991,BruCap,23,M,0.001969365426695843,0.0015533980582524269
1991,BruCap,23,F,0.0004144218814753419,0.0007886435331230284
1991,BruCap,24,M,0.001676445934618609,0.0003497726477789437
1991,BruCap,24,F,0.000576036866359447,0.0010623229461756368
1991,BruCap,25,M,0.001342281879194631,0.0016863406408094439
1991,BruCap,25,F,0.0001838235294117647,0.00034566194262011747
1991,BruCap,26,M,0.001305970149253732,0.0019361084220716359
1991,BruCap,26,F,0.0005207429265752472,0.00033670033670033666
1991,BruCap,27,M,0.0014633254069873788,0.002315580549123387
1991,BruCap,27,F,0.0003634381246592768,0.0
1991,BruCap,28,M,0.001541425818882467,0.0003154574132492114
1991,BruCap,28,F,0.0005687203791469196,0.00034626038781163435
1991,BruCap,29,M,0.0021589793915603533,0.000986842105263158
1991,BruCap,29,F,0.0,0.001048584411045089
1991,BruCap,30,M,0.0019751135690302193,0.0009652509652509653
1991,BruCap,30,F,0.0013227513227513231,0.00034293552812071334
1991,BruCap,31,M,0.0007883326763894362,0.0003430531732418525
1991,BruCap,31,F,0.0009712509712509713,0.0007493443237167477
1991,BruCap,32,M,0.001905972045743329,0.00104384133611691
1991,BruCap,32,F,0.0005881199764752008,0.0
1991,BruCap,33,M,0.001263956182852328,0.001130795326045986
1991,BruCap,33,F,0.001420166362345304,0.0004103405826836274
1991,BruCap,34,M,0.0022286605749944283,0.001096491228070175
1991,BruCap,34,F,0.002044571662236761,0.0
1991,BruCap,35,M,0.002011173184357542,0.001916443081640475
1991,BruCap,35,F,0.00042435815828559313,0.0
1991,BruCap,36,M,0.002443358507330076,0.002012072434607646
1991,BruCap,36,F,0.0008525149190110827,0.0004545454545454545
1991,BruCap,37,M,0.001796945193171609,0.001245847176079734
1991,BruCap,37,F,0.0006313131313131314,0.0009398496240601504
1991,BruCap,38,M,0.003256571295650152,0.001201441730076092
1991,BruCap,38,F,0.001264222503160557,0.0004686035613870666
1991,BruCap,39,M,0.0037444418441376077,0.002770083102493075
1991,BruCap,39,F,0.0021290185224611463,0.0005470459518599561
1991,BruCap,40,M,0.00380952380952381,0.0008861320336730172
1991,BruCap,40,F,0.003383379149925989,0.002031488065007618
1991,BruCap,41,M,0.001894836570345808,0.0019851116625310174
1991,BruCap,41,F,0.001486515183690805,0.001769911504424779
1991,BruCap,42,M,0.0037200651011392704,0.001477104874446086
1991,BruCap,42,F,0.001252086811352254,0.001185536455245999
1991,BruCap,43,M,0.002951191827468786,0.002548419979612641
1991,BruCap,43,F,0.003194250349371132,0.003174603174603175
1991,BruCap,44,M,0.003978779840848807,0.001644736842105263
1991,BruCap,44,F,0.001615182717544922,0.0019582245430809398
1991,BruCap,45,M,0.005017163982043834,0.0006285355122564425
1991,BruCap,45,F,0.002329373398555789,0.0007112375533428165
1991,BruCap,46,M,0.006,0.002400960384153662
1991,BruCap,46,F,0.003083021360933715,0.002162941600576784
1991,BruCap,47,M,0.0051506567087303634,0.0038734667527437062
1991,BruCap,47,F,0.003484320557491289,0.002243829468960359
